"","effectname","beta","se","percentage_increase_or_decrease_on_treatment","real.effect.value","pval","ci.lb","ci.ub","I2_total","I2_study","I2_study_experiment","I2_study_experiment_duration","I2_Effect_ID","I2_Species","I2_Phylogeny","R2_marginal_fixed","R2_conditional_fixed_random","Moderator_significance_stat","Moderator_significance_pval","AIC"
"Feature_FunctionalGroup_ClassificationMovement_Algae_N","Feature_FunctionalGroup_ClassificationMovement_Algae_N",0.0508185795935191,0.35139765826082,5.21319977528514,1.05213199775285,0.885012140792817,-0.637908174849401,0.73954533403644,27.8628305333266,17.6792129000542,0.000285660974524551,0.000285660974490931,2.67634910201546,4.97044160999105,2.53625559931683,26.7398450965672,92.9630354836061,29.9058031677342,0.00786307983926639,1359.39258456483
"Feature_FunctionalGroup_ClassificationMovement_Algae_NIS","Feature_FunctionalGroup_ClassificationMovement_Algae_NIS",0.0596468504548997,0.379332367687228,6.14616256574432,1.06146162565744,0.875054398240824,-0.683830928382373,0.803124629292172,27.8628305333266,17.6792129000542,0.000285660974524551,0.000285660974490931,2.67634910201546,4.97044160999105,2.53625559931683,26.7398450965672,92.9630354836061,29.9058031677342,0.00786307983926639,1359.39258456483
"Feature_FunctionalGroup_ClassificationMovement_Ascidians_N","Feature_FunctionalGroup_ClassificationMovement_Ascidians_N",0.845324309806382,0.557689768551214,132.873292304246,2.32873292304246,0.129579838377051,-0.247727551100475,1.93837617071324,27.8628305333266,17.6792129000542,0.000285660974524551,0.000285660974490931,2.67634910201546,4.97044160999105,2.53625559931683,26.7398450965672,92.9630354836061,29.9058031677342,0.00786307983926639,1359.39258456483
"Feature_FunctionalGroup_ClassificationMovement_Ascidians_NIS","Feature_FunctionalGroup_ClassificationMovement_Ascidians_NIS",0.965194091972569,0.360544885915765,162.529715613169,2.62529715613169,0.00742751455408499,0.258539100767568,1.67184908317757,27.8628305333266,17.6792129000542,0.000285660974524551,0.000285660974490931,2.67634910201546,4.97044160999105,2.53625559931683,26.7398450965672,92.9630354836061,29.9058031677342,0.00786307983926639,1359.39258456483
"Feature_FunctionalGroup_ClassificationMovement_Barnacles_N","Feature_FunctionalGroup_ClassificationMovement_Barnacles_N",0.625566369045589,0.336243773344713,86.9304373810903,1.8693043738109,0.062821196377204,-0.0334593167358981,1.28459205482708,27.8628305333266,17.6792129000542,0.000285660974524551,0.000285660974490931,2.67634910201546,4.97044160999105,2.53625559931683,26.7398450965672,92.9630354836061,29.9058031677342,0.00786307983926639,1359.39258456483
"Feature_FunctionalGroup_ClassificationMovement_Barnacles_NIS","Feature_FunctionalGroup_ClassificationMovement_Barnacles_NIS",0.803000657872897,0.515215679156445,123.222904475708,2.23222904475708,0.119097748305282,-0.206803517544078,1.81280483328987,27.8628305333266,17.6792129000542,0.000285660974524551,0.000285660974490931,2.67634910201546,4.97044160999105,2.53625559931683,26.7398450965672,92.9630354836061,29.9058031677342,0.00786307983926639,1359.39258456483
"Feature_FunctionalGroup_ClassificationMovement_Bryozoans_N","Feature_FunctionalGroup_ClassificationMovement_Bryozoans_N",0.00686766070374027,0.388359469118668,0.689129716359216,1.00689129716359,0.985891125875694,-0.754302911823944,0.768038233231424,27.8628305333266,17.6792129000542,0.000285660974524551,0.000285660974490931,2.67634910201546,4.97044160999105,2.53625559931683,26.7398450965672,92.9630354836061,29.9058031677342,0.00786307983926639,1359.39258456483
"Feature_FunctionalGroup_ClassificationMovement_Bryozoans_NIS","Feature_FunctionalGroup_ClassificationMovement_Bryozoans_NIS",0.0929160191418253,0.324076834794996,9.73695733597124,1.09736957335971,0.774334498551805,-0.542262905280104,0.728094943563755,27.8628305333266,17.6792129000542,0.000285660974524551,0.000285660974490931,2.67634910201546,4.97044160999105,2.53625559931683,26.7398450965672,92.9630354836061,29.9058031677342,0.00786307983926639,1359.39258456483
"Feature_FunctionalGroup_ClassificationMovement_Polychaetes_N","Feature_FunctionalGroup_ClassificationMovement_Polychaetes_N",0.0191604775044314,0.499617657428232,1.934521746915,1.01934521746915,0.969408401887168,-0.960072137095173,0.998393092104036,27.8628305333266,17.6792129000542,0.000285660974524551,0.000285660974490931,2.67634910201546,4.97044160999105,2.53625559931683,26.7398450965672,92.9630354836061,29.9058031677342,0.00786307983926639,1359.39258456483
"Feature_FunctionalGroup_ClassificationMovement_Polychaetes_NIS","Feature_FunctionalGroup_ClassificationMovement_Polychaetes_NIS",-0.167631396542036,0.362349239678889,-15.4334507533134,0.845665492466866,0.643634017640635,-0.87782285613813,0.542560063054057,27.8628305333266,17.6792129000542,0.000285660974524551,0.000285660974490931,2.67634910201546,4.97044160999105,2.53625559931683,26.7398450965672,92.9630354836061,29.9058031677342,0.00786307983926639,1359.39258456483
"Feature_FunctionalGroup_ClassificationOrientation_Bryozoans_N","Feature_FunctionalGroup_ClassificationOrientation_Bryozoans_N",0.39812571268444,0.351523250312146,48.903120825209,1.48903120825209,0.257393647679254,-0.290847197655825,1.08709862302471,27.8628305333266,17.6792129000542,0.000285660974524551,0.000285660974490931,2.67634910201546,4.97044160999105,2.53625559931683,26.7398450965672,92.9630354836061,29.9058031677342,0.00786307983926639,1359.39258456483
"Feature_FunctionalGroup_ClassificationOrientation_Bryozoans_NIS","Feature_FunctionalGroup_ClassificationOrientation_Bryozoans_NIS",0.0492466143064627,0.348021005617167,5.04793820425586,1.05047938204256,0.88747123301243,-0.632862022566596,0.731355251179522,27.8628305333266,17.6792129000542,0.000285660974524551,0.000285660974490931,2.67634910201546,4.97044160999105,2.53625559931683,26.7398450965672,92.9630354836061,29.9058031677342,0.00786307983926639,1359.39258456483
"Feature_FunctionalGroup_ClassificationOrientation_Polychaetes_N","Feature_FunctionalGroup_ClassificationOrientation_Polychaetes_N",0.795996861704784,0.387001290292944,121.664958887883,2.21664958887883,0.0397023331643313,0.037488270760084,1.55450545264948,27.8628305333266,17.6792129000542,0.000285660974524551,0.000285660974490931,2.67634910201546,4.97044160999105,2.53625559931683,26.7398450965672,92.9630354836061,29.9058031677342,0.00786307983926639,1359.39258456483
"Feature_FunctionalGroup_ClassificationOrientation_Polychaetes_NIS","Feature_FunctionalGroup_ClassificationOrientation_Polychaetes_NIS",0.357002375811583,0.42996531054042,42.9039264977882,1.42903926497788,0.406366324194566,-0.48571414744922,1.19971889907239,27.8628305333266,17.6792129000542,0.000285660974524551,0.000285660974490931,2.67634910201546,4.97044160999105,2.53625559931683,26.7398450965672,92.9630354836061,29.9058031677342,0.00786307983926639,1359.39258456483
